u,v,key,osmid,highway,lanes,name,oneway,reversed,length,speed_kph,travel_time,maxspeed,ref,geometry,width,bridge,junction,access,tunnel,elevation_avg,dist_to_river_avg,qualitativeLikelihood_high,probabilityOfOccurrence_high,returnPeriod_high,magnitudeOrIntensity_high,flooded_high,qualitativeLikelihood_medium,probabilityOfOccurrence_medium,returnPeriod_medium,magnitudeOrIntensity_medium,flooded_medium,not_flooded,cell_id,rain_3d,rain_7d,soil_moistutre
10602396,3328619455,0,1216112757,residential,1,Neustraße,True,False,5.870374544206359,33.595391008689084,0.6290549901228112,,,"LINESTRING (6.637228 49.7500944, 6.6372412 49.7501465)",,,,,,141.0,0.011112852699284057,,,,,0,,,,,0,1,cell_9_5,78.69999694824219,78.69999694824219,
10602396,3328610208,0,44503497,secondary,2,Kaiserstraße,True,False,153.9063491549854,50.0,11.08125713915895,50,L 143,"LINESTRING (6.637228 49.7500944, 6.6371073 49.750117, 6.6369169 49.7501499, 6.6368043 49.7501672, 6.6363992 49.7502227, 6.6362613 49.7502418, 6.6359121 49.7502951, 6.6355731 49.7503457, 6.6354792 49.7503596, 6.6351405 49.7504036)",,,,,,141.0,0.010055317444402346,,,,,0,,,,,0,1,cell_9_5,78.69999694824219,78.69999694824219,
10602396,20909583,0,113363975,secondary_link,1,,True,False,36.44763237747786,50.0,2.6242295311784063,50,,"LINESTRING (6.637228 49.7500944, 6.6371691 49.7500582, 6.6371316 49.750024, 6.6370976 49.7499817, 6.6370574 49.7499176, 6.6370571 49.7498914, 6.6370585 49.7498546, 6.6370719 49.7498018)",,,,,,141.0,0.011056171109494129,,,,,0,,,,,0,1,cell_9_5,78.69999694824219,78.69999694824219,
10602410,3212415597,0,6073363,residential,4,,False,False,28.04076929002624,33.595391008689084,3.004780311024976,,,"LINESTRING (6.6401482 49.7495184, 6.6400825 49.7493814, 6.6400603 49.7492736)",,,,,,145.0,0.014060450210274442,,,,,0,,,,,0,1,cell_9_4,78.69999694824219,78.69999694824219,
10602410,10602396,0,"[348744826, 44181036]",secondary,3,Kaiserstraße,True,False,219.65227683840882,50.0,15.814963932365435,50,L 143,"LINESTRING (6.6401482 49.7495184, 6.6400462 49.749549, 6.6399623 49.7495759, 6.6396246 49.7496592, 6.6387377 49.7498238, 6.6382644 49.7499058, 6.6374296 49.7500533, 6.6373887 49.7500605, 6.637228 49.7500944)",,,,,,143.0,0.012597570007930613,,,,,0,,,,,0,1,cell_9_5,78.69999694824219,78.69999694824219,
10602410,322854921,0,329619113,residential,4,Weberbach,False,True,47.082128885330775,50.0,3.389913279743816,50,,"LINESTRING (6.6401482 49.7495184, 6.6401994 49.7496365, 6.6402217 49.7496878, 6.6403251 49.7499261)",,,,,,145.0,0.014141339955718039,,,,,0,,,,,0,1,cell_9_5,78.69999694824219,78.69999694824219,
10602412,130482896,0,"[453390163, 5583924, 1221798079]",residential,2,Weberbach,False,False,44.61837726440903,50.0,3.2125231630374502,50,,"LINESTRING (6.6425003 49.7538613, 6.6423439 49.75376, 6.6422526 49.7536927, 6.6421626 49.753578, 6.6421356 49.7535419)",,,,,,144.0,0.014897505319256942,,,,,0,,,,,0,1,cell_9_5,78.69999694824219,78.69999694824219,
10602412,774055179,0,"[76357832, 5583937]",residential,,Konstantinstraße,False,False,84.66811886978755,40.0,7.620130698280879,"['50', '30']",,"LINESTRING (6.6425003 49.7538613, 6.6424238 49.7539009, 6.6423862 49.7539204, 6.6423057 49.7539463, 6.6421287 49.7540035, 6.6420074 49.7540408, 6.6414572 49.7542112)",,,,,,144.5,0.014421104742055142,,,,,0,,,,,0,1,cell_9_5,78.69999694824219,78.69999694824219,
10602412,1404923171,0,"[6073353, 1217863438]",residential,2,Konstantinplatz,False,False,70.10067608842442,20.0,12.618121695916395,20,,"LINESTRING (6.6425003 49.7538613, 6.6426551 49.7538962, 6.6427848 49.7539209, 6.6428624 49.7539507, 6.6429526 49.7540112, 6.6429841 49.7540405, 6.643079 49.7541328, 6.6431945 49.754261)",,,,,,144.5,0.014960367093507631,,,,,0,,,,,0,1,cell_9_5,78.69999694824219,78.69999694824219,
10602431,318305751,0,"[13882763, 894069991]",residential,2,Mustorstraße,False,False,59.83777318638584,50.0,4.308319669419781,50,,"LINESTRING (6.64423 49.7543476, 6.644502 49.7542142, 6.6445912 49.7541757, 6.6448445 49.7540662, 6.6449133 49.7540406)",,,,,,144.0,0.0158478922989272,,,,,0,,,,,0,1,cell_10_5,78.69999694824219,78.69999694824219,
10602431,1404923171,0,"[894069992, 13882763]",residential,2,Mustorstraße,False,True,88.38141799780077,50.0,6.363462095841656,50,,"LINESTRING (6.64423 49.7543476, 6.6441616 49.7543841, 6.6440795 49.7544192, 6.6439712 49.7544543, 6.6438515 49.754479, 6.6437253 49.7544886, 6.6435792 49.7544729, 6.6434612 49.7544452, 6.6433847 49.7544142, 6.6433636 49.7544025, 6.6433024 49.7543596, 6.6432627 49.7543283, 6.6431945 49.754261)",,,,,,144.5,0.015270981500145844,,,,,0,,,,,0,1,cell_9_5,78.69999694824219,78.69999694824219,
10602432,20909551,0,6073677,residential,1,Große Eulenpfütz,False,False,98.02710504383757,50.0,7.057951563156305,50,,"LINESTRING (6.6457819 49.7538407, 6.6458064 49.7538737, 6.6458563 49.7539598, 6.6458608 49.7540258, 6.6458635 49.7540656, 6.6458716 49.7543345, 6.6458625 49.7544105, 6.6458546 49.7544231, 6.6457566 49.7545026, 6.6456607 49.7545793, 6.6455674 49.7546436)",3,,,,,141.0,0.0163607593472051,,,,,0,,,,,0,1,cell_10_5,78.69999694824219,78.69999694824219,
10602432,130330841,0,"[894069993, 44180418]",residential,2,Mustorstraße,True,False,51.05112283613026,50.0,3.675680844201379,50,,"LINESTRING (6.6457819 49.7538407, 6.6457039 49.7538599, 6.6454753 49.7539191, 6.6451218 49.7540107)",,,,,,143.0,0.016527042321893986,,,,,0,,,,,0,1,cell_10_5,78.69999694824219,78.69999694824219,
10602434,4241031627,0,6073668,residential,,Windstraße,False,True,62.301448629489066,30.0,7.476173835538688,30,,"LINESTRING (6.6475922 49.7554104, 6.6475118 49.7554537, 6.6469261 49.7557692)",,,,,,138.0,0.01579035849248779,,,,,0,,,,,0,1,cell_10_5,78.69999694824219,78.69999694824219,
