osmid,highway,lanes,name,oneway,reversed,length,speed_kph,travel_time,maxspeed,ref,geometry,width,bridge,junction,access,tunnel,edge_id,qualitativeLikelihood_high,probabilityOfOccurrence_high,returnPeriod_high,magnitudeOrIntensity_high,flooded_high,qualitativeLikelihood_medium,probabilityOfOccurrence_medium,returnPeriod_medium,magnitudeOrIntensity_medium,flooded_medium
1216112757,residential,1,Neustraße,True,False,5.870374544206359,33.612927756653995,0.628726795599034,,,"LINESTRING (6.637228 49.7500944, 6.6372412 49.7501465)",,,,,,1216112757,,,,,False,,,,,False
44503497,secondary,2,Kaiserstraße,True,False,153.9063491549854,50.0,11.08125713915895,50,L 143,"LINESTRING (6.637228 49.7500944, 6.6371073 49.750117, 6.6369169 49.7501499, 6.6368043 49.7501672, 6.6363992 49.7502227, 6.6362613 49.7502418, 6.6359121 49.7502951, 6.6355731 49.7503457, 6.6354792 49.7503596, 6.6351405 49.7504036)",,,,,,44503497,,,,,False,,,,,False
113363975,secondary_link,1,,True,False,36.44763237747786,50.0,2.6242295311784063,50,,"LINESTRING (6.637228 49.7500944, 6.6371691 49.7500582, 6.6371316 49.750024, 6.6370976 49.7499817, 6.6370574 49.7499176, 6.6370571 49.7498914, 6.6370585 49.7498546, 6.6370719 49.7498018)",,,,,,113363975,,,,,False,,,,,False
6073363,residential,4,,False,False,28.04076929002624,33.612927756653995,3.003212638152626,,,"LINESTRING (6.6401482 49.7495184, 6.6400825 49.7493814, 6.6400603 49.7492736)",,,,,,6073363,,,,,False,,,,,False
"[348744826, 44181036]",secondary,3,Kaiserstraße,True,False,219.65227683840882,50.0,15.814963932365435,50,L 143,"LINESTRING (6.6401482 49.7495184, 6.6400462 49.749549, 6.6399623 49.7495759, 6.6396246 49.7496592, 6.6387377 49.7498238, 6.6382644 49.7499058, 6.6374296 49.7500533, 6.6373887 49.7500605, 6.637228 49.7500944)",,,,,,"[348744826, 44181036]",,,,,False,,,,,False
329619113,residential,4,Weberbach,False,True,47.082128885330775,50.0,3.389913279743816,50,,"LINESTRING (6.6401482 49.7495184, 6.6401994 49.7496365, 6.6402217 49.7496878, 6.6403251 49.7499261)",,,,,,329619113,,,,,False,,,,,False
"[453390163, 5583924, 1221798079]",residential,2,Weberbach,False,False,44.61837726440903,50.0,3.2125231630374502,50,,"LINESTRING (6.6425003 49.7538613, 6.6423439 49.75376, 6.6422526 49.7536927, 6.6421626 49.753578, 6.6421356 49.7535419)",,,,,,"[453390163, 5583924, 1221798079]",,,,,False,,,,,False
"[76357832, 5583937]",residential,,Konstantinstraße,False,False,84.66811886978755,40.0,7.620130698280879,"['30', '50']",,"LINESTRING (6.6425003 49.7538613, 6.6424238 49.7539009, 6.6423862 49.7539204, 6.6423057 49.7539463, 6.6421287 49.7540035, 6.6420074 49.7540408, 6.6414572 49.7542112)",,,,,,"[76357832, 5583937]",,,,,False,,,,,False
"[6073353, 1217863438]",residential,2,Konstantinplatz,False,False,70.10067608842442,20.0,12.618121695916395,20,,"LINESTRING (6.6425003 49.7538613, 6.6426551 49.7538962, 6.6427848 49.7539209, 6.6428624 49.7539507, 6.6429526 49.7540112, 6.6429841 49.7540405, 6.643079 49.7541328, 6.6431945 49.754261)",,,,,,"[6073353, 1217863438]",,,,,False,,,,,False
"[13882763, 894069991]",residential,2,Mustorstraße,False,False,59.83777318638584,50.0,4.308319669419781,50,,"LINESTRING (6.64423 49.7543476, 6.644502 49.7542142, 6.6445912 49.7541757, 6.6448445 49.7540662, 6.6449133 49.7540406)",,,,,,"[13882763, 894069991]",,,,,False,,,,,False
